Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
BKAHF,BANK OF AYUDHYA PCL NVDR,Pink Current,1.040000,,0,Foreign Ordinary Shares,Thailand,
BKAYY,BANK OF AYUDHYA PCL ADR,Pink Current,28.470000,,0,ADRs,Thailand,
MCTZF,MCOT PUBLIC CO LTD NVDR,Pink Current,0.170000,,0,Foreign Ordinary Shares,Thailand,
UVPOF,UNIVANICH PALM OIL NVDR,Pink Current,0.180000,0.000000,200,Foreign Ordinary Shares,Thailand,
MIILF,MINOR INTER PUB WTS 9/21,Pink Current,0.005000,,0,Warrants,Thailand,
MINOF,MINOR INTL PCL ORD,Pink Current,0.670000,,0,Foreign Ordinary Shares,Thailand,
MINRF,MINOR INTER PUB WTS 23,Pink Current,0.190000,,0,Warrants,Thailand,
MIPCF,MINOR INTL PUB CO LTD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Thailand,
MNILY,MINOR INTL PCL UNSP/ADR,Pink Current,25.870000,,0,ADRs,Thailand,
INDMF,INDORAMA VNTRS PCL,Pink Current,0.000000,,0,Foreign Ordinary Shares,Thailand,
INDOY,INDORAMA VNTRS UNSP/ADR,Pink Current,12.950000,,0,ADRs,Thailand,
IVLRF,INDORAMA VENTURES NVDR,Pink Current,1.220000,,0,Foreign Ordinary Shares,Thailand,
BTGRF,BTS GRP HLDGS PUB CO,Pink Current,0.320000,,0,Foreign Ordinary Shares,Thailand,
BTGWF,BTS GRP HLDGS PUB NVDR,Pink Current,0.295000,,0,Foreign Ordinary Shares,Thailand,
BTSGY,BTS GROUP HLDGS UNSP/ADR,Pink Current,33.750000,,0,ADRs,Thailand,
CPPCY,CP ALL PUB CO UNSP/ADR,Pink Current,24.520000,,0,ADRs,Thailand,
TUFBY,THAI UN GRP PUB CO U/ADR,Pink Current,12.960000,,0,ADRs,Thailand,
NOKPF,NOK AIRLINES PUBLIC CO,Pink Current,2.830000,-28.354400,52792,Foreign Ordinary Shares,Thailand,
RPCCF,RPCG PCL ORD,Pink Current,0.000000,,0,Foreign Ordinary Shares,Thailand,
UAPNF,UNION AUCTION PUB CO NVDR,Pink Current,0.000000,,0,Other Security Type,Thailand,
BKKXF,BANGKOK EXPWY & METRO PUB,Pink Current,0.301900,,0,Foreign Ordinary Shares,Thailand,
GRDAF,GUARDFORCE AI CO LTD,Pink Current,2.550000,,0,Foreign Ordinary Shares,Thailand,
WTKWY,WOLTERS KLUWER S/ADR,Pink Current,86.850000,0.532500,12373,ADRs,The Netherlands,
KLMR,K L M ROYAL DUTCH AIR,Pink Current,15.000000,,0,Common Stock,The Netherlands,
ARCAY,ARCADIS NV S/ADR,Pink Current,39.800000,-3.701900,458,ETFs,The Netherlands,
ARCVF,ARCADIS NV ORD,Pink Current,40.000000,,0,Foreign Ordinary Shares,The Netherlands,
AEGOF,AEGON N.V. ORD,Pink Current,4.520000,,2031,Foreign Ordinary Shares,The Netherlands,
ASMXF,ASM INTERNATIONAL NV,Pink Current,256.792100,,0,Foreign Ordinary Shares,The Netherlands,
AAVMY,ABN AMR BK N V UNSP/ADR,Pink Current,12.110000,-0.329200,4450,ADRs,The Netherlands,
ASMLF,ASML HOLDING NV ORD,Pink Current,621.120000,4.213000,1059,Foreign Ordinary Shares,The Netherlands,
KKPNF,KONINKLIJKE KPN NV,Pink Current,3.430000,0.292400,197029,Foreign Ordinary Shares,The Netherlands,
KKPNY,ROYAL KPN NV S/ADR,Pink Current,3.370000,-0.295900,273215,ADRs,The Netherlands,
INGVF,ING GROEP NV,Pink Current,12.327000,-0.420100,2534,Other Security Type,The Netherlands,
BESIY,BE SMCNDCTR INDUS S/ADR,Pink Current,85.000000,4.938300,1667,ETFs,The Netherlands,
HDUGF,HUNTER DOUGLAS NV,Pink Current,78.750000,,0,Foreign Ordinary Shares,The Netherlands,
PSTNY,POSTNL NV U/ADR,Pink Current,1.350000,,0,ADRs,The Netherlands,
TNTFF,POSTNL NV,Pink Current,4.620000,,0,Foreign Ordinary Shares,The Netherlands,
RANJF,RANDSTAND HOLDINGS NV,Pink Current,65.080000,,0,Foreign Ordinary Shares,The Netherlands,
RANJY,RANDSTAD NV UNSP/ADR,Pink Current,35.520000,-0.892900,366,ADRs,The Netherlands,
